mineral_id,name,category,china_dependency_pct,total_import_pct,domestic_production_mt,current_reserves_india_mt,strategic_importance,key_applications,alternative_sources
1,Lithium,Battery Metals,75,100,0,5900,9,EV Batteries|Grid Storage|Electronics,Australia|Chile|Argentina
2,Rare Earth Elements,Critical Minerals,98,100,0,6900000,10,Defense Systems|Wind Turbines|EVs|Electronics,Australia|USA|Vietnam
3,Cobalt,Battery Metals,47,95,15000,40000,8,Li-ion Batteries|Superalloys|Catalysts,DRC|Australia|Canada
4,Graphite,Battery Metals,68,85,35000,8000000,7,EV Anodes|Nuclear Reactors|Lubricants,Madagascar|Brazil|Mozambique
5,Nickel,Battery Metals,35,70,180000,190000,7,EV Batteries|Stainless Steel|Superalloys,Indonesia|Philippines|Russia
6,Gallium,Semiconductor Metals,100,100,0,0,9,Semiconductors|LEDs|Solar Cells|5G,Japan|Germany|Ukraine
7,Germanium,Semiconductor Metals,95,98,1000,0,8,Fiber Optics|IR Optics|Solar Cells,Belgium|USA|Canada
8,Tungsten,Strategic Metals,85,92,1200,150000,8,Defense|Cutting Tools|Electronics,Vietnam|Russia|Bolivia
9,Vanadium,Strategic Metals,65,80,3000,20000,7,Steel Alloys|Grid Storage|Aerospace,South Africa|Russia|Brazil
10,Antimony,Strategic Metals,75,88,500,90000,6,Flame Retardants|Lead Batteries|Ammunition,Bolivia|Russia|Tajikistan
