history_id,mineral_id,year,total_import_value_usd,china_share_pct
1,1,2019,245000000,65
2,1,2020,312000000,68
3,1,2021,445000000,72
4,1,2022,678000000,74
5,1,2023,892000000,75
6,2,2019,156000000,96
7,2,2020,168000000,97
8,2,2021,175000000,97
9,2,2022,182000000,98
10,2,2023,195000000,98
11,3,2019,89000000,42
12,3,2020,95000000,43
13,3,2021,102000000,45
14,3,2022,108000000,46
15,3,2023,115000000,47
16,4,2019,234000000,58
17,4,2020,256000000,61
18,4,2021,278000000,64
19,4,2022,301000000,66
20,4,2023,325000000,68
21,5,2019,456000000,28
22,5,2020,478000000,30
23,5,2021,502000000,32
24,5,2022,528000000,34
25,5,2023,556000000,35
26,6,2019,12000000,100
27,6,2020,14000000,100
28,6,2021,16000000,100
29,6,2022,18000000,100
30,6,2023,21000000,100
31,7,2019,8000000,92
32,7,2020,9000000,93
33,7,2021,10000000,94
34,7,2022,11000000,94
35,7,2023,12000000,95
36,8,2019,67000000,78
37,8,2020,72000000,80
38,8,2021,76000000,82
39,8,2022,81000000,84
40,8,2023,86000000,85
41,9,2019,123000000,58
42,9,2020,134000000,60
43,9,2021,145000000,62
44,9,2022,156000000,63
45,9,2023,168000000,65
46,10,2019,34000000,68
47,10,2020,38000000,70
48,10,2021,42000000,72
49,10,2022,46000000,74
50,10,2023,51000000,75
